"date","cellvalue","n_cells"
2019-01-01,3,46
2019-01-01,13,139
2019-01-01,15,29
2019-01-01,17,1
2019-01-01,21,7
2019-01-01,27,18
2019-01-01,NA,289
2019-01-09,3,55
2019-01-09,13,148
2019-01-09,15,27
2019-01-09,17,1
2019-01-09,21,6
2019-01-09,27,43
2019-01-09,NA,249
2019-01-17,3,21
2019-01-17,5,1
2019-01-17,11,1
2019-01-17,13,104
2019-01-17,15,40
2019-01-17,17,4
2019-01-17,21,10
2019-01-17,27,27
2019-01-17,NA,321
2019-01-25,3,31
2019-01-25,13,40
2019-01-25,15,95
2019-01-25,17,3
2019-01-25,21,7
2019-01-25,27,7
2019-01-25,NA,346
2019-02-02,3,31
2019-02-02,13,124
2019-02-02,15,52
2019-02-02,21,12
2019-02-02,27,33
2019-02-02,NA,277
2019-02-10,3,54
2019-02-10,13,46
2019-02-10,15,26
2019-02-10,17,2
2019-02-10,21,9
2019-02-10,27,1
2019-02-10,NA,391
2019-02-18,3,51
2019-02-18,13,124
2019-02-18,15,34
2019-02-18,21,11
2019-02-18,NA,309
2019-02-26,3,1
2019-02-26,13,120
2019-02-26,15,11
2019-02-26,17,4
2019-02-26,21,6
2019-02-26,27,40
2019-02-26,NA,347
2019-03-06,3,3
2019-03-06,13,9
2019-03-06,15,8
2019-03-06,17,3
2019-03-06,21,8
2019-03-06,27,29
2019-03-06,NA,469
2019-03-14,3,6
2019-03-14,5,5
2019-03-14,13,37
2019-03-14,15,2
2019-03-14,27,1
2019-03-14,NA,478
2019-03-22,3,1
2019-03-22,13,170
2019-03-22,15,5
2019-03-22,17,4
2019-03-22,21,1
2019-03-22,27,28
2019-03-22,NA,320
2019-03-30,3,21
2019-03-30,5,2
2019-03-30,13,128
2019-03-30,15,24
2019-03-30,21,5
2019-03-30,27,7
2019-03-30,NA,342
