"date","cellvalue","n_cells"
2019-01-01,15,3
2019-01-01,21,338
2019-01-01,NA,188
2019-01-09,15,10
2019-01-09,21,368
2019-01-09,27,3
2019-01-09,NA,148
2019-01-17,15,8
2019-01-17,21,327
2019-01-17,NA,194
2019-01-25,15,8
2019-01-25,21,328
2019-01-25,27,16
2019-01-25,NA,177
2019-02-02,15,15
2019-02-02,21,156
2019-02-02,23,2
2019-02-02,27,173
2019-02-02,NA,183
2019-02-10,15,48
2019-02-10,16,1
2019-02-10,19,2
2019-02-10,21,119
2019-02-10,23,1
2019-02-10,27,175
2019-02-10,NA,183
2019-02-18,15,71
2019-02-18,21,210
2019-02-18,27,64
2019-02-18,NA,184
2019-02-26,7,1
2019-02-26,14,7
2019-02-26,15,48
2019-02-26,21,10
2019-02-26,27,4
2019-02-26,NA,459
2019-03-06,15,57
2019-03-06,21,104
2019-03-06,23,8
2019-03-06,27,215
2019-03-06,NA,145
2019-03-14,15,12
2019-03-14,21,62
2019-03-14,23,3
2019-03-14,27,107
2019-03-14,NA,345
2019-03-22,15,88
2019-03-22,21,150
2019-03-22,23,14
2019-03-22,27,129
2019-03-22,NA,148
2019-03-30,15,6
2019-03-30,21,50
2019-03-30,27,66
2019-03-30,NA,407
