"date","cellvalue","n_cells"
2019-01-01,3,59
2019-01-01,5,21
2019-01-01,8,263
2019-01-01,11,8
2019-01-01,13,5
2019-01-01,15,1
2019-01-01,17,33
2019-01-01,NA,139
2019-01-09,3,29
2019-01-09,5,41
2019-01-09,8,289
2019-01-09,11,5
2019-01-09,17,11
2019-01-09,NA,154
2019-01-17,3,23
2019-01-17,5,11
2019-01-17,8,330
2019-01-17,11,3
2019-01-17,13,9
2019-01-17,17,21
2019-01-17,NA,132
2019-01-25,3,23
2019-01-25,5,22
2019-01-25,8,248
2019-01-25,11,1
2019-01-25,13,3
2019-01-25,17,28
2019-01-25,NA,204
2019-02-02,3,25
2019-02-02,5,50
2019-02-02,8,169
2019-02-02,11,4
2019-02-02,13,3
2019-02-02,15,4
2019-02-02,17,17
2019-02-02,NA,257
2019-02-10,2,1
2019-02-10,3,48
2019-02-10,5,17
2019-02-10,8,184
2019-02-10,11,6
2019-02-10,13,35
2019-02-10,15,14
2019-02-10,17,31
2019-02-10,NA,193
2019-02-18,3,43
2019-02-18,5,54
2019-02-18,8,230
2019-02-18,11,14
2019-02-18,13,14
2019-02-18,17,6
2019-02-18,NA,168
2019-02-26,5,9
2019-02-26,8,21
2019-02-26,17,10
2019-02-26,NA,489
2019-03-06,3,7
2019-03-06,5,61
2019-03-06,8,80
2019-03-06,13,2
2019-03-06,17,10
2019-03-06,NA,369
2019-03-14,3,5
2019-03-14,5,40
2019-03-14,8,239
2019-03-14,11,5
2019-03-14,13,1
2019-03-14,17,8
2019-03-14,NA,231
2019-03-22,3,13
2019-03-22,5,13
2019-03-22,8,187
2019-03-22,13,1
2019-03-22,17,22
2019-03-22,NA,293
2019-03-30,5,9
2019-03-30,8,202
2019-03-30,17,22
2019-03-30,NA,296
