"date","cellvalue","n_cells"
2019-01-01,12,65
2019-01-01,14,56
2019-01-01,19,3
2019-01-01,NA,405
2019-01-09,12,324
2019-01-09,14,11
2019-01-09,19,6
2019-01-09,22,2
2019-01-09,27,1
2019-01-09,NA,185
2019-01-17,NA,529
2019-01-25,12,28
2019-01-25,14,265
2019-01-25,19,40
2019-01-25,21,12
2019-01-25,NA,184
2019-02-02,12,57
2019-02-02,14,58
2019-02-02,21,3
2019-02-02,NA,411
2019-02-10,12,66
2019-02-10,14,138
2019-02-10,19,1
2019-02-10,NA,324
2019-02-18,12,88
2019-02-18,14,228
2019-02-18,19,20
2019-02-18,21,2
2019-02-18,NA,191
2019-02-26,14,257
2019-02-26,19,79
2019-02-26,21,5
2019-02-26,NA,188
2019-03-06,12,15
2019-03-06,14,317
2019-03-06,19,8
2019-03-06,NA,189
2019-03-14,12,106
2019-03-14,14,166
2019-03-14,19,53
2019-03-14,21,17
2019-03-14,NA,187
2019-03-22,12,226
2019-03-22,14,69
2019-03-22,19,15
2019-03-22,22,4
2019-03-22,NA,215
2019-03-30,12,266
2019-03-30,14,13
2019-03-30,19,17
2019-03-30,22,17
2019-03-30,27,2
2019-03-30,NA,214
