"date","cellvalue","n_cells"
2020-01-01,3,211
2020-01-01,15,143
2020-01-01,21,114
2020-01-01,27,1
2020-01-01,NA,60
2020-01-09,3,70
2020-01-09,5,2
2020-01-09,13,30
2020-01-09,15,85
2020-01-09,21,148
2020-01-09,NA,194
2020-01-17,3,190
2020-01-17,11,1
2020-01-17,13,1
2020-01-17,15,63
2020-01-17,21,78
2020-01-17,NA,196
2020-01-25,3,4
2020-01-25,13,57
2020-01-25,15,43
2020-01-25,17,1
2020-01-25,21,124
2020-01-25,27,11
2020-01-25,NA,289
2020-02-02,3,6
2020-02-02,13,25
2020-02-02,15,128
2020-02-02,21,138
2020-02-02,27,2
2020-02-02,NA,230
2020-02-10,3,58
2020-02-10,13,86
2020-02-10,15,92
2020-02-10,21,162
2020-02-10,27,2
2020-02-10,NA,129
2020-02-18,3,45
2020-02-18,5,3
2020-02-18,13,41
2020-02-18,15,143
2020-02-18,21,56
2020-02-18,27,1
2020-02-18,NA,240
2020-02-26,3,15
2020-02-26,13,29
2020-02-26,15,94
2020-02-26,21,72
2020-02-26,27,3
2020-02-26,NA,316
2020-03-05,13,2
2020-03-05,15,18
2020-03-05,18,2
2020-03-05,21,52
2020-03-05,NA,455
2020-03-13,3,32
2020-03-13,5,2
2020-03-13,13,135
2020-03-13,15,139
2020-03-13,18,2
2020-03-13,21,58
2020-03-13,27,8
2020-03-13,NA,153
2020-03-21,3,6
2020-03-21,13,174
2020-03-21,15,127
2020-03-21,21,47
2020-03-21,27,43
2020-03-21,NA,132
2020-04-06,13,63
2020-04-06,15,101
2020-04-06,21,18
2020-04-06,27,50
2020-04-06,NA,297
