"date","cellvalue","n_cells"
2019-01-01,21,134
2019-01-01,NA,395
2019-01-09,21,175
2019-01-09,NA,354
2019-01-17,21,137
2019-01-17,NA,392
2019-01-25,21,154
2019-01-25,27,3
2019-01-25,NA,372
2019-02-02,15,3
2019-02-02,19,1
2019-02-02,21,91
2019-02-02,27,54
2019-02-02,NA,380
2019-02-10,15,12
2019-02-10,19,3
2019-02-10,21,73
2019-02-10,23,3
2019-02-10,27,70
2019-02-10,NA,368
2019-02-18,15,9
2019-02-18,21,82
2019-02-18,27,1
2019-02-18,NA,437
2019-02-26,15,10
2019-02-26,27,7
2019-02-26,NA,512
2019-03-06,21,90
2019-03-06,27,85
2019-03-06,NA,354
2019-03-14,21,11
2019-03-14,27,4
2019-03-14,NA,514
2019-03-22,15,5
2019-03-22,21,90
2019-03-22,23,4
2019-03-22,27,38
2019-03-22,NA,392
2019-03-30,21,76
2019-03-30,27,58
2019-03-30,NA,395
